platform,impressions,total_spend_zar,budget_allocated_zar,engagements,clicks,link_clicks,page_views,form_starts,registrations,confirmed_enrollments,counsellor_referrals,avg_ctr,avg_engagement_rate,avg_conversion_rate,avg_cost_per_reg,avg_cost_per_enrollment
Facebook,185538,5362.28,5273.72,8827.0,8241.0,4554.0,2997.0,1138.0,115.0,45.0,419.0,0.0468466400383657,0.05098708130412471,0.0004602062710007997,45.46170965608465,130.27727192982454
Instagram,387266,10780.34,10504.189999999999,42232.0,26199.0,15817.0,10955.0,4426.0,523.0,288.0,1507.0,0.07568037085979847,0.115439047426936,0.0011445724502790178,30.01098522507503,58.013333464824946
TikTok,684545,15006.9,16195.869999999999,177168.0,61232.0,32205.0,24918.0,9014.0,1069.0,537.0,3240.0,0.08741753036457815,0.2416147653110187,0.0016862258679207238,15.611577682403414,31.706467333910993
WhatsApp,81778,1156.77,1207.58,21461.0,15520.0,11258.0,7956.0,2808.0,346.0,159.0,913.0,0.20038030011602742,0.27178294993640506,0.0035513023863837454,3.9923249422294877,7.498160628019324
