campaign_phase,impressions,total_spend_zar,budget_allocated_zar,engagements,clicks,link_clicks,page_views,form_starts,registrations,confirmed_enrollments,counsellor_referrals,avg_ctr,avg_engagement_rate,avg_conversion_rate,avg_cost_per_reg,avg_cost_per_enrollment
Close,527920,12663.939999999999,13523.75,111998.0,45548.0,26079.0,18919.0,6485.0,691.0,345.0,2554.0,0.10565105358163877,0.15028265291902987,0.001722130367516284,22.217901663153235,31.668352056259625
Launch,319962,7657.24,7643.26,47450.0,26929.0,13763.0,11199.0,4579.0,356.0,174.0,1340.0,0.11581110614818366,0.16150304331946638,0.0011852110450668728,32.30859444064707,74.81786148904006
Mid,491245,11985.11,12014.35,90240.0,38715.0,23992.0,16708.0,6322.0,1006.0,510.0,2185.0,0.09250045511458192,0.1871366991209311,0.0019941809291282595,15.891734036285175,35.450881825446864
