content_type,impressions,total_spend_zar,budget_allocated_zar,engagements,clicks,link_clicks,page_views,form_starts,registrations,confirmed_enrollments,counsellor_referrals,avg_ctr,avg_engagement_rate,avg_conversion_rate,avg_cost_per_reg,avg_cost_per_enrollment
Carousel,168481,5077.0,4920.03,28726.0,13529.0,9374.0,6821.0,2469.0,323.0,143.0,889.0,0.09408985205971317,0.1758720587747971,0.001906652873004824,21.983036158286158,55.27968548387097
Static,273368,7244.08,6859.86,26423.0,25053.0,14125.0,9913.0,3391.0,400.0,211.0,1201.0,0.1341221490888749,0.13062245205081657,0.0019474030917023617,21.48370762471606,44.378961073801655
Story,139737,3318.4,3397.15,11821.0,9079.0,4491.0,4331.0,1869.0,188.0,99.0,348.0,0.05656959897529129,0.07680115179260279,0.0012238080733740267,37.6382489946188,72.60215391156463
Video,757541,16666.81,18004.32,182718.0,63531.0,35844.0,25761.0,9657.0,1142.0,576.0,3641.0,0.0870503619993525,0.22702271350043646,0.001490878590045235,18.268081206209512,33.50592174216582
